#chr1	x1	x2	chr2:y1-y2,2
chr10	78700000	78725000	chr10:79100000-79125000,2
chr10	108275000	108300000	chr10:108425000-108450000,2
chr10	61275000	61300000	chr10:61650000-61675000,2
chr10	111275000	111300000	chr10:111475000-111500000,2
chr10	21800000	21825000	chr10:21975000-22000000,2
chr10	61400000	61425000	chr10:61650000-61675000,2
chr10	99150000	99175000	chr10:99575000-99600000,2
chr10	56375000	56400000	chr10:56750000-56775000,2
chr10	71050000	71075000	chr10:71150000-71175000,2
chr10	67725000	67750000	chr10:67975000-68000000,2
chr10	90725000	90750000	chr10:91175000-91200000,2
chr10	120450000	120475000	chr10:120850000-120875000,2
chr10	97375000	97400000	chr10:97650000-97675000,2
chr10	85200000	85225000	chr10:85650000-85675000,2
chr10	100000000	100025000	chr10:100475000-100500000,2
chr10	13550000	13575000	chr10:14200000-14225000,2
chr10	91275000	91300000	chr10:93000000-93025000,2
chr10	12000000	12025000	chr10:12175000-12200000,2
chr10	75575000	75600000	chr10:75825000-75850000,2
chr10	16625000	16650000	chr10:17325000-17350000,2
chr10	128550000	128575000	chr10:128700000-128725000,2
chr10	83800000	83825000	chr10:84475000-84500000,2
chr10	4375000	4400000	chr10:5100000-5125000,2
chr10	88375000	88400000	chr10:88725000-88750000,2
chr10	117300000	117325000	chr10:117675000-117700000,2
chr10	110325000	110350000	chr10:110700000-110725000,2
chr10	85675000	85700000	chr10:85925000-85950000,2
chr10	60250000	60275000	chr10:60525000-60550000,2
chr10	75850000	75875000	chr10:76100000-76125000,2
chr10	22900000	22925000	chr10:23025000-23050000,2
chr10	34675000	34700000	chr10:35100000-35125000,2
chr10	19000000	19025000	chr10:19900000-19925000,2
chr10	68650000	68675000	chr10:69300000-69325000,2
chr10	19225000	19250000	chr10:19500000-19525000,2
chr10	51575000	51600000	chr10:51750000-51775000,2
chr10	83600000	83625000	chr10:83700000-83725000,2
chr10	53850000	53875000	chr10:54525000-54550000,2
chr10	60625000	60650000	chr10:61050000-61075000,2
chr10	60625000	60650000	chr10:60875000-60900000,2
chr10	99000000	99025000	chr10:99575000-99600000,2
chr10	96125000	96150000	chr10:97675000-97700000,2
chr10	115400000	115425000	chr10:116300000-116325000,2
chr10	43475000	43500000	chr10:44150000-44175000,2
chr10	59175000	59200000	chr10:59800000-59825000,2
chr10	4375000	4400000	chr10:5025000-5050000,2
chr10	77675000	77700000	chr10:77800000-77825000,2
chr10	26900000	26925000	chr10:27750000-27775000,2
chr10	19225000	19250000	chr10:19675000-19700000,2
chr10	114075000	114100000	chr10:114250000-114275000,2
chr10	78575000	78600000	chr10:79100000-79125000,2
chr10	75850000	75875000	chr10:76175000-76200000,2
chr10	60525000	60550000	chr10:60875000-60900000,2
chr10	119100000	119125000	chr10:119375000-119400000,2
chr10	76850000	76875000	chr10:77200000-77225000,2
chr10	49400000	49425000	chr10:49975000-50000000,2
chr10	22575000	22600000	chr10:23075000-23100000,2
chr10	56350000	56375000	chr10:57400000-57425000,2
chr10	18925000	18950000	chr10:19500000-19525000,2
chr10	12200000	12225000	chr10:12600000-12625000,2
chr10	116575000	116600000	chr10:117200000-117225000,2
chr10	57500000	57525000	chr10:58450000-58475000,2
chr10	100200000	100225000	chr10:100425000-100450000,2
chr10	34450000	34475000	chr10:35100000-35125000,2
chr10	121675000	121700000	chr10:122525000-122550000,2
chr10	80275000	80300000	chr10:80675000-80700000,2
chr10	60800000	60825000	chr10:61650000-61675000,2
chr10	8750000	8775000	chr10:9075000-9100000,2
chr10	60425000	60450000	chr10:61050000-61075000,2
chr10	92300000	92325000	chr10:93000000-93025000,2
chr10	23400000	23425000	chr10:24125000-24150000,2
chr10	87000000	87025000	chr10:87500000-87525000,2
chr10	53850000	53875000	chr10:56325000-56350000,2
chr10	21375000	21400000	chr10:22125000-22150000,2
chr10	129100000	129125000	chr10:129450000-129475000,2
chr10	123250000	123275000	chr10:126800000-126825000,2
chr10	45075000	45100000	chr10:45900000-45925000,2
chr10	35675000	35700000	chr10:35875000-35900000,2
chr10	18900000	18925000	chr10:19900000-19925000,2
chr10	10400000	10425000	chr10:11150000-11175000,2
chr10	83350000	83375000	chr10:83775000-83800000,2
chr10	69525000	69550000	chr10:70275000-70300000,2
chr10	52400000	52425000	chr10:53500000-53525000,2
chr10	115425000	115450000	chr10:116175000-116200000,2
chr10	97050000	97075000	chr10:97675000-97700000,2
chr10	112825000	112850000	chr10:113300000-113325000,2
chr10	31725000	31750000	chr10:33075000-33100000,2
chr10	22125000	22150000	chr10:22475000-22500000,2
chr10	51575000	51600000	chr10:52150000-52175000,2
chr10	129025000	129050000	chr10:130075000-130100000,2
chr10	80675000	80700000	chr10:81150000-81175000,2
chr10	29100000	29125000	chr10:30400000-30425000,2
chr10	46675000	46700000	chr10:49625000-49650000,2
chr10	57425000	57450000	chr10:58675000-58700000,2
chr10	40275000	40300000	chr10:41275000-41300000,2
chr10	80600000	80625000	chr10:81150000-81175000,2
chr10	20300000	20325000	chr10:22700000-22725000,2
chr10	79975000	80000000	chr10:80675000-80700000,2
chr10	61150000	61175000	chr10:61850000-61875000,2
chr10	3525000	3550000	chr10:4375000-4400000,2
chr10	59750000	59775000	chr10:60250000-60275000,2
chr10	78575000	78600000	chr10:79575000-79600000,2
chr10	22000000	22025000	chr10:22475000-22500000,2
chr10	23200000	23225000	chr10:24575000-24600000,2
chr10	78250000	78275000	chr10:79100000-79125000,2
chr10	8625000	8650000	chr10:53725000-53750000,2
chr10	93430000	93440000	chr10:93660000-93670000,2
chr10	12740000	12750000	chr10:12850000-12860000,2
chr10	88000000	88010000	chr10:88320000-88330000,2
chr10	42530000	42540000	chr10:42610000-42620000,2
chr10	75250000	75260000	chr10:75460000-75470000,2
chr10	95110000	95120000	chr10:95250000-95260000,2
chr10	119660000	119670000	chr10:120100000-120110000,2
chr10	107850000	107860000	chr10:108260000-108270000,2
chr10	98740000	98750000	chr10:99030000-99040000,2
chr10	83190000	83200000	chr10:83350000-83360000,2
chr10	75280000	75290000	chr10:75440000-75450000,2
chr10	59940000	59950000	chr10:59990000-60000000,2
chr10	51840000	51850000	chr10:51940000-51950000,2
chr10	34810000	34820000	chr10:34900000-34910000,2
chr10	70220000	70230000	chr10:70360000-70370000,2
chr10	62880000	62890000	chr10:62990000-63000000,2
chr10	16630000	16640000	chr10:16980000-16990000,2
chr10	117830000	117840000	chr10:117890000-117900000,2
chr10	93850000	93860000	chr10:94110000-94120000,2
chr10	75990000	76000000	chr10:76070000-76080000,2
chr10	69740000	69750000	chr10:69960000-69970000,2
chr10	43120000	43130000	chr10:43400000-43410000,2
chr10	31440000	31450000	chr10:31540000-31550000,2
chr10	22580000	22590000	chr10:22720000-22730000,2
chr10	120250000	120260000	chr10:120700000-120710000,2
chr10	111110000	111120000	chr10:111190000-111200000,2
chr10	93070000	93080000	chr10:93390000-93400000,2
chr10	80910000	80920000	chr10:81150000-81160000,2
chr10	76000000	76010000	chr10:76100000-76110000,2
chr10	59410000	59420000	chr10:59460000-59470000,2
chr10	25260000	25270000	chr10:25680000-25690000,2
chr10	4590000	4600000	chr10:5110000-5120000,2
chr10	118560000	118570000	chr10:118710000-118720000,2
chr10	98010000	98020000	chr10:98070000-98080000,2
chr10	90910000	90920000	chr10:90970000-90980000,2
chr10	90150000	90160000	chr10:90230000-90240000,2
chr10	80390000	80400000	chr10:80460000-80470000,2
chr10	68960000	68970000	chr10:69200000-69210000,2
chr10	60870000	60880000	chr10:60930000-60940000,2
chr10	41020000	41030000	chr10:41180000-41190000,2
chr10	26370000	26380000	chr10:26490000-26500000,2
chr10	6880000	6890000	chr10:7120000-7130000,2
chr10	110110000	110120000	chr10:110450000-110460000,2
chr10	90190000	90200000	chr10:90270000-90280000,2
chr10	80910000	80920000	chr10:81100000-81110000,2
chr10	77140000	77150000	chr10:77280000-77290000,2
